id,name,priority,website,aum,sectors,company_type,coverage_person,sample_portfolio_companies,comments,description,address,city,state,country
243,Spice World,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Producer of branded fresh garlic and other ingredients and spices sold in grocery retail,,,,
244,Spinrite,,,,Consumer Retail; Consumer Products,Deal Target,,,,Manufacturer and distributor of craft yarn products,,,,
245,Sweet Harvest Foods,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Producer and distributor of honey,,,,
246,Schneider Downs,,,,,,,,,,,,,
247,Levin Furniture,,,,Consumer Retail; Retail,Deal Target,,,,Closed 11/22/2017,,,,
248,Wolf Furniture,,,,Consumer Retail; Retail,Deal Target,,,,Closed 11/22/2017,,,,
249,Just Desserts,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Give & Go add-on,,,,
250,Kroger Convenience Stores,,,,Consumer Retail; Retail,Deal Target,,,,"Owner, operator, and franchisor of 762 convenience stores across 18 states",,,,
251,Berner Food & Beverage,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Manufacturer of shelf-stable dairy-based food and beverage products,,,,
252,Zoë's Kitchen,,,,Consumer Retail; Restaurants,Deal Target,,,,Operator of over 200 owned or franchised fast-casual restaurants across 20 states,,,,
253,Jordan Home Health,,,,Healthcare; Providers,Deal Target,,,,Provider of home health services / Potential combination with Blue Wolf,,,,
254,Interdent,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,DSO,,,,
255,Cowen,,,,,,,,,,,,,
256,The Saatva Company,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Online, direct to consumer luxury mattress company",,,,
257,Correct Care Solutions,,,,Healthcare; Providers,Deal Target,,,,Public health outsourcing platform,,,,
258,Milani,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Beauty brand focused on mass face, lip, and eye products",,,,
259,Lifetouch,,,,Consumer Retail; Consumer Services,Deal Target,,,,Largest professional photography company in the world,,,,
260,Dorel Home,,,,Consumer Retail; Consumer Products,Deal Target,,,,Manufacturer and distributor of ready-to-assemble furniture and home furnishings; operating segment within Dorel Industries,,,,
261,Aryzta Facilities,,,,Consumer Retail; Consumer Products,Deal Target,,,,Two Aryzta plants located in IL with a combined 428K sq. ft. of manufacturing space and a NBV of $93mm / G&G add-on,,,,
262,Dentalcorp,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Canadian DSO,,,,
263,N,,,,,,,,,,,,,
264,A,,,,,,,,,,,,,
265,Schweiger Dermatology,,,,Healthcare; Retail and Consumer Health,Deal Target,,,,Roll-up of dermatology practices / owned by LLR partners,,,,
266,North Point Advisors,,,,,,,,,,,,,
267,Firebirds,,,,Consumer Retail; Restaurants,Deal Target,,,,Owner and operator of 45 Firebirds branded restaurants across the United States,,,,
268,Pacon,,,,Consumer Retail; Consumer Products,Deal Target,,,,Producer and marketer of arts and crafts products,,,,
269,Lincoln International,,,,,,,,,,,,,
270,Potpourri Group,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Direct-to-consumer marketer of women's apparel and accessories, home products, and gift products",,,,
271,Evolution Research Group,,,,Healthcare; Pharma / Pharma Services,Deal Target,,,,Largest independent clinical research site services company focused on special populations; market leader in CNS,,,,
272,Footnote:,,,,,Deal Target,,,,,,,,
273,(1) Dead includes both failed auctions and deals completed by others,,,,,Deal Target,,,,,,,,
274,Shermco,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,"Electrical testing, maintenance, and commissioning services",,,,
275,Kastle Systems,,,,Business Services; Facilities Services,Deal Target,,,,"Provider of comprehensive, turnkey security solutions",,,,
276,CLEAResult,,,,Business Services; Facilities Services,Deal Target,,,,Provider of energy efficiency and demand management programs,,,,
277,PLH,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Specialty contractor serving the electric power and energy pipeline infrastructure markets,,,,
278,BBB Industries,,,,Business Services; Specialty Distribution,Deal Target,,,,Provider of remanufactured replacement parts to the automotive aftermarket,,,,
279,Restaurant Technology,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,"Provider of cooking oil solutions to the restaurant, hospitality and foodservice markets",,,,
280,Osmose,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Provider of maintenance services to the transmission and distribution infrastructure grid,,,,
281,Quality Solutions,,,,Business Services; Facilities Services,Deal Target,,,,"Managers of facilities services for retail, foodservice, and other industries",,,,
282,SRS Distribution,,,,Business Services; Specialty Distribution,Deal Target,,,,Roofing distributor,,,,
283,Raymond James,,,,,,,,,,,,,
284,Discover.org,,,,Business Services; Marketing Services,Deal Target,,,,Info services with focus on B2B sales,,,,
285,Carve out of Navigant,,,,Business Services; Professional Services,Deal Target,,,,"Legal, risk and compliance consulting platform",,,,
286,Crossmark,,,,Business Services; Marketing Services,Deal Target,,,,Sales and marketing services for the consumer goods industry,,,,
287,MeridianLink,,,,Business Services; Financial Technology,Deal Target,,,,Underwriting software for financial institutions,,,,
288,FT Partners,,,,,,,,,,,,,
289,CompoSecure,,,,Business Services; Payments,Deal Target,,,,Leading designer and manufacturer of high-end metal cards,,,,
290,PLI,,,,Business Services; Payments,Deal Target,,,,"Manufacturer and designer of cards for gift cards, loyalty programs and hospitality",,,,
291,KeyBanc,,,,,,,,,,,,,
292,FMG,,,,Business Services; Marketing Services,Deal Target,,,,Financial advisor and insurance broker marketing software and related marketing services,,,,
293,GS,,,,,,,,,,,,,
294,US Security Associates,,,,Business Services; Facilities Services,Deal Target,,,,Outsourced security services,,,,
295,Red Hawk Fire & Security,,,,Business Services; Facilities Services,Deal Target,,,,Fire and security systems integration,,,,
296,Halo,,,,Business Services; Specialty Distribution,Deal Target,,,,Promotional products marketing services,,,,
297,Qualtek,,,,Business Services; Technology Services,Deal Target,,,,Telecommunications services,,,,
298,Dwyer Group,,,,Business Services; Facilities Services,Deal Target,,,,Holding company for 11 service-based franchise organizations,,,,
299,PSSI,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Food processing cleaning and sanitation services,,,,
300,Togetherworks,,,,Business Services; Payments,Deal Target,,,,Payments ISV,,,,
301,Genpact IT Transformation assets,,,,Business Services; Technology Services,Deal Target,,,,IT and transformation services for cap markets firms,,,,
302,Direxion Investments,,,,Business Services; Asset Management,Deal Target,,,,Provides index-based ETF and mutual fund products,,,,
303,Amherst Pierpont,,,,Business Services; Financial Services,Deal Target,,,,Broker dealer operating in the fixed income capital markets,,,,
304,Zafin,,,,Business Services; Financial Technology,Deal Target,,,,Bank software,,,,
305,Direct to Company,,,,,,,,,,,,,
306,SMS Assist,,,,Business Services; Technology Services,Deal Target,,,,Tech services,,,,
307,Secure 24,,,,Business Services; Technology Services,Deal Target,,,,Managed IT Services,,,,
308,BKD Corporate Finance,,,,,,,,,,,,,
309,Project Yoder,,,,Business Services; Professional Services,Deal Target,,,,Supply chain consulting,,,,
310,Galls,,,,Business Services; Specialty Distribution,Deal Target,,,,Value-added distributor of public safety uniforms and gear,,,,
311,Planet Payment,,,,Business Services; Payments,Deal Target,,,,Payment processing solutions,,,,
312,US Retirement & Benefits Partners,,,,Business Services; Technology Services,Deal Target,,,,Provider of tech-enabled employee benefits and retirement services,,,,
313,Ryan Herco Flow Solutions,,,,Business Services; Specialty Distribution,Deal Target,,,,"Nationwide distributor of fluid conveyance, measurement, and control products",,,,
314,NV5 Global,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,TIC,,,,
315,PSI Services,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,Outsourced testing solutions,,,,
316,Energy Solutions,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Nuclear waste disposal and reactor decommissioning,,,,
317,MS,,,,,,,,,,,,,
318,Stephens,,,,,,,,,,,,,
319,Aclara Technologies,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Smart infrastructure solutions provider serving utilities,,,,
320,Convergint Technologies,,,,Business Services; Technology Services,Deal Target,,,,Systems integration,,,,
321,Stifel,,,,,,,,,,,,,
322,CFGI,,,,Business Services; Professional Services,Deal Target,,,,Outsourced CFO Services,,,,
323,Aqua Finance,,,,Business Services; Banks / Lending,Deal Target,,,,Consumer Finance,,,,
324,BlackArch,,,,,,,,,,,,,
325,Advanced Discovery,,,,Business Services; BPO,Deal Target,,,,"Legal process outsourcing, eDiscovery",,,,
326,Consilio,,,,Business Services; BPO,Deal Target,,,,"Legal process outsourcing, eDiscovery",,,,
327,Montrose Environmental,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,Environmental engineering solutions,,,,
328,Liquid Environmental Solutions,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Route based grease trap cleaning business,,,,
329,Aricent,,,,Business Services; Professional Services,Deal Target,,,,R&D engineering services,,,,
330,Prometric,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,Tech-enabled testing and assessment,,,,
331,Peak Utility Services,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Utility services provider in Pac Northwest and Intermountain West,,,,
332,CHA Consulting,,,,Business Services; Professional Services,Deal Target,,,,Engineering consulting platform,,,,
333,TransPerfect,,,,Business Services; Technology Services,Deal Target,,,,Language and Technology,,,,
334,Sandler O’Neill,,,,,,,,,,,,,
335,Snowden Lane,,,,Business Services; Financial Services,Deal Target,,,,Wealth management RIA,,,,
336,United Capital,,,,Business Services; Financial Services,Deal Target,,,,Wealth management RIA,,,,
337,Organix,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Food recycling,,,,
338,Evercore,,,,,,,,,,,,,
339,Pearl,,,,Business Services; Banks / Lending,Deal Target,,,,MGA writing nonstandard auto insurance policies,,,,
340,Project Cougar,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Utility services provider,,,,
341,HighTower,,,,Business Services; Financial Services,Deal Target,,,,Wealth management RIA,,,,
342,Gopher Resource,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Battery recycling,,,,
343,Trust Company of America,,,,Business Services; Financial Services,Deal Target,,,,Wealth management RIA,,,,
344,SMG,,,,Business Services; Marketing Services,Deal Target,,,,Convention and venue management,,,,
345,Seastar Solutions,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,"Vessel control, fuel systems, and boat system integration",,,,
346,Cross Country Infrastructure,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Outsourced equipment and service provider to midstream pipeline market,,,,
347,Divisions Maintenance Group,,,,Business Services; Facilities Services,Deal Target,,,,Facilities outsourcing,,,,
348,DRB Systems,,,,Business Services; Technology Services,Deal Target,,,,System of systems technology for car wash industry,,,,
349,American Advisors Group,,,,Business Services; Banks / Lending,Deal Target,,,,Reverse Mortgages,,,,
350,Bank of America,,,,,,,,,,,,,
351,AmTrust,,,,Business Services; Insurance,Deal Target,,,,Insurance Services,,,,
352,Elior NA,,,,Business Services; Facility Services,Deal Target,,,,Foodservice management and catering,,,,
353,Guaranteed Rate,,,,Business Services; Banks / Lending,Deal Target,,,,Mortgage lending,,,,
354,Smart Carte,,,,Business Services; Transportation & Logistics,Deal Target,,,,"Self-serve vended luggage carts, electronic lockers, commercial strollers and massage chairs",,,,
355,Luma Partners,,,,,,,,,,,,,
356,MediaMath,,,,Business Services; Marketing Services,Deal Target,,,,Advertising technology,,,,
357,ABC Billing,,,,Business Services; Payments,Deal Target,,,,Software and billing provider for the health and fitness industry,,,,
358,LiquidHub,,,,Business Services; Marketing Services,Deal Target,,,,Digital Transformation,,,,
359,PrimeSource,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Construction fastening solutions,,,,
360,SIRVA,,,,Business Services; Tranportation & Logistics,Deal Target,,,,Relocation and moving services,,,,
361,Bluepay,,,,Business Services; Payments,Deal Target,,,,Merchant processing,,,,
362,Dynasty Financial Partners,,,,Business Services; Financial Services,Deal Target,,,,RIA Technology Platform,,,,
363,Evestment,,,,Business Services; Data & Information Services,Deal Target,,,,Analytics for institutional investors,,,,
364,Vaco,,,,Business Services; Human Capital Services,Deal Target,,,,Staffing,,,,
365,BenefitMall,,,,Business Services; Financial Technology,Deal Target,,,,Online payroll and benefits,,,,
366,EAG,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,Scientific Services,,,,
367,Wipro Assets,,,,Business Services; Technology Services,Deal Target,,,,Datacenter and Cloud Services,,,,
368,Treliant Risk Advisors,,,,Business Services; Professional Services,Deal Target,,,,"Governance, risk management, and compliance advisory",,,,
369,ThoughtWorks,,,,Business Services; Technology Services,Deal Target,,,,IT Consulting,,,,
370,Brightstar (U.S.),,,,Business Services; Technology Services,Deal Target,,,,B2B wireless services,,,,
371,International Catastrophe Insurance Managers,,,,Business Services; Financial Services,Deal Target,,,,Managing General Agency,,,,
372,International Cash Distributors,,,,Business Services; Financial Services,Deal Target,,,,Money Market Fund Portal,,,,
373,Dent Wizard,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Automotive reconditioning,,,,
374,Priority Payments,,,,Business Services; Payments,Deal Target,,,,Merchant acquirer,,,,
375,Phreesia,,,,Business Services; Payments,Deal Target,,,,Payments ISV,,,,
376,Strategic Materials,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Environmental services,,,,
377,Tunnel Hill,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Waste Transport Services,,,,
378,USIC,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Underground utility locating,,,,
379,A Place for Mom,,,,Business Services; Marketing Services,Deal Target,,,,Senior care referral services,,,,
380,Moravia,,,,Business Services; Professional Services,Deal Target,,,,Globalization services,,,,
381,BHI,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Energy Services,,,,
382,United Site Services,,,,Business Services; Facilities Services,Deal Target,,,,Portable sanitation,,,,
383,Continuum,,,,Business Services; Financial Services,Deal Target,,,,Asset Management,,,,
384,Direct to FIS,,,,,,,,,,,,,
385,Capco,,,,Business Services; IT Services,Deal Target,,,,Financial services & tech,,,,
386,ATC Associates,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Environmental services,,,,
387,Paylease,,,,Business Services; Payments,Deal Target,,,,Payment and billing solutions,,,,
388,Discovery Education,,,,Business Services; Education Services,Deal Target,,,,K-12 Digital Education,,,,
389,Advicent,,,,Business Services; Financial Technology,Deal Target,,,,Wealth management software,,,,
390,TrustCommerce,,,,Business Services; Payments,Deal Target,,,,Payment Security Technology,,,,
391,CIBTvisas,,,,Business Services; Transportation & Logistics,Deal Target,,,,Travel visas,,,,
392,Securus Technologies,,,,Business Services; Technology Services,Deal Target,,,,Criminal justice technology,,,,
393,ThermoFisher Assets,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Environmental instruments,,,,
394,Paymetric,,,,Business Services; Payments,Deal Target,,,,B2B Payments and Software,,,,
395,Truck Hero,,,,Business Services; Specialty Distribution,Deal Target,,,,Aftermarket auto,,,,
396,Oppenheimer,,,,,,,,,,,,,
397,Stephenson’s,,,,Business Services; Banks / Lending,Deal Target,,,,Rental services,,,,
398,Rough Country,,,,Business Services; Specialty Distribution,Deal Target,,,,Aftermarket auto,,,,
399,Lund,,,,Business Services; Specialty Distribution,Deal Target,,,,Aftermarket auto,,,,
400,EnviroVac,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Industrial cleaning,,,,
401,Wind River Environmental,,,,Business Services; Industrial & Environmental Services,Deal Target,,,,Liquid environmental waste,,,,
402,DiversiTech,,,,Business Services; Specialty Distribution,Deal Target,,,,"Heating, ventilation and AC",,,,
403,RECON,,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,Environmental remediation and  William Blair,,,,
404,FolioFN,,,,Business Services; Financial Services,Deal Target,,,,Wealth management,,,,
405,Andrews Advisory Group,,,,,,,,,,,,,
406,WIS International,,,,Business Services; Technology Services,Deal Target,,,,Inventory verification and retail,,,,
407,Sage Payment Solutions,,,,Business Services; Payments,Deal Target,,,,Merchant acquirer,,,,
408,TMS,,,,Business Services; Payments,Deal Target,,,,Merchant acquirer,,,,
409,Clearent,,,,Business Services; Payments,Deal Target,,,,Merchant acquirer,,,,
410,Echo Logistics,,,,Business Services; Transportation & Logistics,Deal Target,,,,Transportation logistics,,,,
411,SquareTwo Financial,,,,Business Services; Financial Services,Deal Target,,,,Asset recovery and management services,,,,
412,Take-private,,,,,,,,,,,,,
413,DH Corporation,,,,Business Services; Financial Technology,Deal Target,,,,Financial technology,,,,
414,National Response Corporation (NRC),,,,"Business Services; Testing, Inspection & Certificaiton",Deal Target,,,,Compliance and environmental services,,,,
415,SunGard Insurance,,,,Business Services; Financial Technology,Deal Target,,,,Insurance software provider,,,,
416,PSG,,,,Business Services; Specialty Distribution,Deal Target,,,,Sporting goods,,,,
417,World Business Lenders,,,,Business Services; Banks / Lending,Deal Target,,,,Small business lender,,,,
418,Jefferies & Company,,,,,,,,,,,,,
419,RW Baird,,,,,,,,,,,,,
420,RBC Capital Markets,,,,,,,,,,,,,
421,Moelis & Company,,,,,,,,,,,,,
422,Morgan Stanely,,,,,,,,,,,,,
423,Nomura,,,,,,,,,,,,,
424,Petsky Prunier,,,,,,,,,,,,,
425,AdMedia,,,,,,,,,,,,,
